id,add,datetime,time_casa,time_fora,bethouse1,mercado1,valor1,odd1,aposta1,resultado1,bethouse2,mercado2,valor2,odd2,aposta2,resultado2,bethouse3,mercado3,valor3,odd3,aposta3,resultado3,lucro_estimado,lucro_per_estimado,lucroReal,lucro_perReal,esporte
1,2023-05-01 05:45:35,2023-05-06 05:00:00,PAS Giannina,Asteras Tripolis,FavBet,TO,1.0,3.35,14.46,loss,VBet,TU,1.0,1.51,32.1,win,,,,0.0,0.0,,,,1.91,0.04102233676975944,
2,2023-05-01 05:50:35,2023-05-06 05:00:00,PAS Giannina,Asteras Tripolis,FavBet,ScoreBoth,,2.48,22.8,loss,VBet,Not,,1.78,31.75,win,,,,0.0,0.0,,,,1.97,0.03611365719523373,
3,2023-05-01 05:55:35,2023-05-03 05:00:00,Ararat Armenia,FC Ararat Yerevan,VBet,1,,1.58,18.7,win,BetFair,X2,,3.75,7.87,loss,,,,0.0,0.0,,,,2.98,0.1121565675573955,
4,2023-05-01 06:00:35,2023-05-03 06:00:00,Ararat Armenia,FC Ararat Yerevan,VBet,1,,1.58,20.0,win,BetFair,X,,5.0,6.26,loss,BetFair,2.0,,12.0,2.6,loss,,,2.74,0.0949410949410949,
5,2023-05-01 06:05:35,2023-05-03 06:00:00,Ararat Armenia,FC Ararat Yerevan,BetFair,TO,0.5,2.05,9.09,win,VBet,TU,0.5,2.23,8.35,loss,,,,0.0,0.0,,,,1.19,0.0682339449541284,
6,2023-05-01 06:15:35,2023-05-03 06:00:00,Ararat Armenia,FC Ararat Yerevan,VBet,AH1,0.0,1.23,10.5,win,BetFair,DNB2,,9.0,1.41,loss,,,,0.0,0.0,,,,1.01,0.0848026868178001,
7,2023-05-01 09:45:15,2023-05-01 09:30:00,MnM Gaming,Reven Esports,FavBet,2,,5.5,2.5,loss,BetFair,1,,1.32,11.0,win,,,,0.0,0.0,,,,1.02,0.0755555555555555,
8,2023-05-01 12:45:35,2023-05-30 12:45:00,Arsenal,VfL Wolfsburg,Pinnacle,1,,1.925,211.14,loss,FavBet,2,,2.24,181.45,win,,,,0.0,0.0,,,,13.85,0.0352989123513081,
9,2023-05-01 18:43:58,2023-05-01 18:00:00,Eik-Tonsberg,Odds Ballklubb 2,BetFair,1,,1.38,152.39,win,Ex BetFair,X2,,5.97,39.67,loss,,,,0.0,0.0,,,,18.24,0.0949703217744454,
10,2023-05-01 18:46:25,2023-05-02 18:00:00,Elina Svitolina,Despina Papamichail,FavBet,AH2,5.5,2.51,67.05,loss,VBet,AH1,5.5,1.79,94.0,win,,,,0.0,0.0,,,,7.21,0.0447687053710027,
11,2023-05-01 18:47:07,2023-05-02 18:30:00,Samir Hamza Reguig,Matic Dimic,BetWay,2,,2.4,5.54,loss,Pinnacle,1,,1.877,8.0,win,,,,0.0,0.0,,,,1.48,0.1093057607090103,
12,2023-05-01 19:03:51,2023-05-02 19:00:00,Whittlesea United,St Albans Saints,FavBet,AH2,3.0,2.36,8.27,loss,VBet,AH1,3.0,1.98,9.85,win,,,,0.0,0.0,loss,,,,,
13,2023-05-02 01:37:12,2023-05-24 01:00:00,Sivasspor,Fenerbahce,FavBet,Q2,,1.34,142.0,,VBet,Q1,,5.1,37.1,,,,,0.0,0.0,,10.91,6.12,,,
