id,data_entrada,data_jogo,time_casa,time_fora,bethouse1,mercado1,valor1,odd1,aposta1,resultado1,bethouse2,mercado2,valor2,odd2,aposta2,resultado2,bethouse3,mercado3,valor3,odd3,aposta3,resultado3,lucro_estimado,lucro_per_estimado,lucro_real,lucro_per_real,esporte
20210722001,2021-07-22 04:00:00,2022-04-20 21:00:00,UD Aldaia CF (W) ,SCF Plaza Argel (W),Pinnacle,Not ScoreBoth,,2.16,11.4,loss,BetFair,ScoreBoth,,2.1,11.73,win,,,,,,,1.5,0.0649,1.5,0.0649,Futebol
20210722002,2021-07-22 04:20:00,2022-04-20 21:00:00,Slavia Prague ,Slovan Liberec,BetFair,EH1,-1.0,2.6,12.97,loss,Pinnacle,AH2,1.5,1.68,20.07,win,,,,,,,0.68,0.0206,0.68,0.0206,Voleibol
20210722003,2021-07-22 04:40:00,2022-04-20 21:00:00,Slavia Prague ,Slovan Liberec,BetFair,EH1,-2.0,3.0,38.85,loss,Pinnacle,AH2,2.5,1.552,75.1,win,,,,,,,2.6,0.0228,2.6,0.0228,Rugby
20210722004,2021-07-22 05:00:00,2022-04-20 21:00:00,Liquid Brazil,ODDIK Bright,BetFair,TU,3.5,5.75,7.25,loss,DafaBet,TO,3.5,1.27,32.82,win,,,,,,,1.61,0.0402,1.61,0.0402,Tênis
20210722005,2021-07-22 05:20:00,2022-04-20 21:00:00,Inter Helsinki,NouLa,Bet365,EH1,3.0,1.75,260.0,win,DafaBet,AH2,-2.5,2.27,200.96,loss,,,,,,,-5.96,-0.0129,-5.96,-0.0129,Futebol
20210722006,2021-07-22 05:40:00,2022-04-20 21:00:00,Xelaju MC (Res) ,Antigua GFC (Res),BetWay,TO,3.5,3.2,245.0,win,Bet365,TU,3.5,1.57,499.36,loss,,,,,,,39.64,0.0533,39.64,0.0533,Basquetebol
20210722007,2021-07-22 06:00:00,2022-04-20 21:00:00,Xelaju MC (Res) ,Antigua GFC (Res),BetWay,TO,4.5,1.35,245.0,win,Bet365,TU,4.5,4.33,76.39,loss,,,,,,,9.36,0.0291,9.36,0.0291,Futebol
20210722008,2021-07-22 06:20:00,2022-04-20 21:00:00,Gremio,CSA,DafaBet,,,1.74,221.41,win,Pinnacle,,,2.61,147.61,loss,,,,,,,16.24,44.0,16.24,44.0,Futebol
20210722009,2021-07-22 06:40:00,2022-04-20 21:00:00,Bayern Munich,Viktoria Plzen,BetWay,ScoreBoth,,1.55,3.35,win,BetFair,Not ScoreBoth,,3.0,1.73,loss,,,,,,,0.11,0.0217,0.11,0.0217,Futebol
20210722010,2021-07-22 07:00:00,2022-04-20 21:00:00,Bayern Munich,Viktoria Plzen,Bet365,ScoreBoth,,1.43,170.32,win,BetWay,Not ScoreBoth,,3.5,69.59,loss,,,,,,,4.47,0.0186,4.47,0.0186,Tênis
20210723001,2021-07-23 07:20:00,2022-04-20 21:00:00,Sarpsborg 08 FF II,Eik-Tonsberg,BetFair,2,,5.25,4.07,loss,Pinnacle,1X,,1.358,15.73,win,,,,,,,1.56,0.0788,1.56,0.0788,Futebol
20210723002,2021-07-23 07:40:00,2022-04-20 21:00:00,Strømsgodset 2 ,Bossekop,BetFair,AH1,-5.0,2.5,13.8,win,Pinnacle,AH2,5.25,1.769,19.5,loss,,,,,,,1.2,36.0,1.2,36.0,Futebol
20210723003,2021-07-23 08:00:00,2022-04-20 21:00:00,Stranraer ,Elgin,DafaBet,TO,2.5,1.6,41.68,win,Pinnacle,TU,2.5,2.38,30.65,loss,,,,,,,-5.64,-78.0,-5.64,-78.0,Futebol
20210723004,2021-07-23 08:20:00,2022-04-20 21:00:00,Gremio,CSA,BetFair,TO2,4.5,1.91,22.77,win,Pinnacle,TU2,4.5,2.24,19.41,loss,,,,,,,1.31,0.0311,1.31,0.0311,Futebol
20210726001,2021-07-26 08:40:00,2022-04-20 21:00:00,Gremio,CSA,1xBet,TO2,3.5,2.4,103.0,win,Bet365,TU2,3.5,1.83,135.0,loss,,,,,,,9.2,0.0387,9.2,0.0387,Futebol
20210726002,2021-07-26 09:00:00,2022-04-20 21:00:00,Gremio,CSA,1xBet,TO,11.5,2.11,279.43,win,1xBet,TU,11.5,2.1,280.0,loss,,,,,,,30.17,0.0539,30.17,0.0539,Futebol
20210726003,2021-07-26 09:20:00,2022-04-20 21:00:00,Wigan U21,Burnley U21,1xBet,DNB2,,1.07,310.0,loss,Pinnacle,AH1,0.0,4.53,116.0,win,Pinnacle,AH1,0.0,7.13,75.0,loss,24.48,0.0489,24.48,0.0575,Tênis
20210726004,2021-07-26 09:40:00,2022-04-20 21:00:00,Natus Vincere,Illuminar,BetWay,AH2,6.5,3.2,353.0,loss,BetWay,AH1,-6.5,1.3,597.0,win,BetWay,AH1,-6.5,3.3,107.0,loss,-280.9,-0.2658,-280.9,-0.2957,Futebol
20210726005,2021-07-26 10:00:00,2022-04-20 21:00:00,Natus Vincere,Illuminar,Pinnacle,AH2,7.5,1.4,141.0,win,1xBet,AH1,-7.5,2.34,84.0,loss,,,,,,,-27.6,-0.1227,-27.6,-0.1227,Futebol
20210726006,2021-07-26 10:20:00,2022-04-20 21:00:00,Liverpool,Rangers,DafaBet,TO2,2.5,1.6,63.0,win,Bet365,TU2,2.5,2.75,37.0,loss,,,,,,,0.8,8.0,0.8,8.0,Tênis
20210726007,2021-07-26 10:40:00,2022-04-20 21:00:00,Liverpool,Rangers,DafaBet,TO2,3.5,2.13,26.0,loss,1xBet,TU2,3.5,1.93,29.0,win,,,,,,,0.97,0.0176,0.97,0.0176,Futebol
20210727001,2021-07-27 11:00:00,2022-04-20 21:00:00,Liverpool,Rangers,1xBet,EH1,-5.0,2.45,131.0,win,1xBet,AH2,5.5,1.7,112.0,win,Bet365,,,2.0,256.0,loss,12.35,0.0247,12.35,0.0508,Futebol
20210727002,2021-07-27 11:20:00,2022-04-20 21:00:00,Robert Jamrich,Martin Kocvara,DafaBet,2,,1.69,342.0,loss,1xBet,1,,2.775,208.0,loss,,,,,,,0.0,0.0,0.0,0.0,Tênis
20210727003,2021-07-27 11:40:00,2022-04-20 21:00:00,Glentoran ,Warrenpoint Town,DafaBet,ScoreBoth,,1.69,21.0,loss,1xBet,Not ScoreBoth,,2.848,12.0,loss,,,,,,,0.0,0.0,0.0,0.0,Futebol
