#;date;event;odd;bookie;initiator;bet;pay;cur;status
1;08/03/2024 05:26;Monagas SC - Portuguesa FC Football. Venezuela - Primera Division 2024-03-08 23:00;2-way: Handicap/Spread 1st team(0) = 1.99;Pinnacle;;18.59;36.99;BRL;
;;;2-way: Handicap/Spread 2nd team(0) = 2.21;Favbet;;16.74;37.0;BRL;
;;;;;;;;;
2;08/03/2024 05:17;Espanyol B - Lleida Esportiu Football. Spain. Segunda Federacion 2024-03-09 17:00;2-way: Handicap/Spread 1st team(0) = 2.14;Pinnacle;;18.65;39.91;BRL;
;;;2-way: Handicap/Spread 2nd team(0) = 2.03;Favbet;;19.66;39.91;BRL;
;;;;;;;;;
3;08/03/2024 05:15;CD Guadalajara SAD - UD Montijo Football. Spain. Segunda Federacion 2024-03-09 17:00;Total Over(2) = 2;Favbet;;20.25;40.5;BRL;
;;;Total Under(2) = 2.48;Pinnacle;;16.33;40.5;BRL;
;;;;;;;;;
4;08/03/2024 03:59;FK Banik Most-Sous - TJ Sokol Zivanice Football. Czech Republic. 3.Liga 2024-03-09 13:30;3-way: 1st team win = 2.18;Vbet;;20.95;45.67;BRL;
;;;Double chance: draw or 2nd team win = 2.1;SportyBet;;21.750.000.000.000.000;45.68;BRL;
;;;;;;;;;
5;08/03/2024 03:58;FK Banik Most-Sous - TJ Sokol Zivanice Football. Czech Republic. 3.Liga 2024-03-09 13:30;2-way: Handicap/Spread 1st team(0) = 1.62;Vbet;;39.88;64.61;BRL;
;;;Draw No Bet: 2nd team win = 3.5;SportyBet;;18.46;64.61;BRL;
;;;;;;;;;
6;08/03/2024 03:58;FK Banik Most-Sous - TJ Sokol Zivanice Football. Czech Republic. 3.Liga 2024-03-09 13:30;2-way: Handicap/Spread 1st team(0) = 1.62;Vbet;;39.88;64.61;BRL;
;;;Draw No Bet: 2nd team win = 3.5;SportyBet;;18.46;64.61;BRL;
;;;;;;;;;
7;08/03/2024 03:25;1.BFK Frydlant - MFK Frydek Mistek Football. Czech Republic. 3.Liga 2024-03-09 13:30;Double chance: 1st team win or draw = 2.6;SportyBet;;7;18.2;BRL;
;;;3-way: 2nd team win = 1.85;Vbet;;9.84;18.2;BRL;
;;;;;;;;;
8;08/03/2024 03:11;CS Dock Sud - Excursionistas Football. Argentina - Primera B Metropolitana 2024-03-08 23:00;Draw No Bet: 1st team win = 2.375;Bet365;;19.31;45.86;BRL;
;;;2-way: Handicap/Spread 2nd team(0) = 1.88;Favbet;;24.4;45.87;BRL;
;;;;;;;;;
9;08/03/2024 03:11;Lecce - Verona Football. Italy. Serie A 2024-03-10 11:30;Total Over (3-way)(10)Corners = 3.4;Bet365;;23.82;80.99;BRL;
;;;Total Under(10.5)Corners = 1.5;Favbet;;54;81.0;BRL;
;;;;;;;;;
10;08/03/2024 03:10;FC Lorient - Olympique Lyonnais Football. France. League 1 2024-03-09 16:00;Total Over 1st team(3.5)Corners = 1.727;Bet365;;25.29;43.68;BRL;
;;;Total Under 1st team(3.5)Corners = 2.62;Favbet;;16.67;43.68;BRL;
;;;;;;;;;
11;08/03/2024 03:08;FC Dynamo Kyiv - FC Zorya Luhansk Football. Ukraine. Premier League 2024-03-12 13:30;Total Over(3) = 2.49;Pinnacle;;101.66;253.13;BRL;
;;;Total Under(3) = 1.8;Favbet;;140.63;253.13;BRL;
;;;;;;;;;
12;08/03/2024 03:05;Heroic - OG e-Sports. Counter-Strike. BLAST Premier. Spring Showdown 2024-03-09 14:30;Draw No Bet: 1st team win = 1.44;Favbet;;40.5;58.32;BRL;
;;;Draw No Bet: 2nd team win = 3.88;SportyBet;;15;58.2;BRL;
;;;;;;;;;
13;08/03/2024 03:03;SC Dnipro-1 - Rukh Lviv Football. Ukraine. Premier League 2024-03-08 11:00;Total Over 1st team(3)Corners 1 period = 2.5;Vbet;;20.25;50.63;BRL;
;;;Total Under 1st team(3)Corners 1 period = 1.8;Favbet;;28.129.999.999.999.900;50.63;BRL;
;;;;;;;;;
14;07/03/2024 23:55;Liverpool - AC Sparta Praha Football. Europe. UEFA Europa League 2024-03-14 20:00;3-way: draw = 7.32;SportyBet;;76.67;561.22;BRL;
